,min_temp
1196,-81.0
1197,-79.0
1198,-79.0
1199,-79.0
1200,-80.0
1201,-79.0
1202,-80.0
1203,-79.0
1204,-78.0
1205,-80.0
1206,-78.0
1207,-80.0
1208,-80.0
1209,-79.0
1210,-80.0
1211,-81.0
1212,-81.0
1213,-76.0
1214,-78.0
1215,-77.0
1216,-77.0
1217,-78.0
1218,-77.0
1219,-80.0
1220,-80.0
1221,-80.0
1222,-78.0
1223,-77.0
1224,-77.0
1225,-78.0
1226,-77.0
1227,-78.0
1228,-78.0
1229,-77.0
1230,-76.0
1231,-77.0
1232,-74.0
1233,-78.0
1234,-76.0
1235,-78.0
1236,-76.0
1237,-77.0
1238,-77.0
1239,-75.0
1240,-76.0
1241,-75.0
1242,-77.0
1243,-76.0
1244,-76.0
1245,-80.0
1246,-74.0
1247,-75.0
1248,-75.0
1249,-75.0
1250,-75.0
1251,-76.0
1252,-73.0
1253,-73.0
1254,-72.0
1255,-73.0
1256,-76.0
1257,-75.0
1258,-75.0
1259,-74.0
1260,-72.0
1261,-74.0
1262,-76.0
1263,-76.0
1264,-75.0
1265,-74.0
1266,-75.0
1267,-74.0
1268,-74.0
1269,-75.0
1270,-74.0
1271,-74.0
1272,-73.0
1273,-74.0
1274,-75.0
1275,-74.0
1276,-74.0
1277,-75.0
1278,-73.0
1279,-75.0
1280,-76.0
1281,-76.0
1282,-77.0
1283,-74.0
1284,-73.0
1285,-76.0
1286,-73.0
1287,-74.0
1288,-75.0
1289,-74.0
1290,-74.0
1291,-73.0
1292,-66.0
1293,-73.0
1294,-73.0
1295,-73.0
1296,-75.0
1297,-75.0
1298,-75.0
1299,-75.0
1300,-76.0
1301,-74.0
1302,-75.0
1303,-74.0
1304,-72.0
1305,-72.0
1306,-78.0
1307,-72.0
1308,-73.0
1309,-72.0
1310,-72.0
1311,-70.0
1312,-73.0
1313,-73.0
1314,-71.0
1315,-72.0
1316,-72.0
1317,-71.0
1318,-72.0
1319,-72.0
1320,-71.0
1321,-72.0
1322,-72.0
1323,-70.0
1324,-69.0
1325,-69.0
1326,-71.0
1327,-70.0
1328,-70.0
1329,-71.0
1330,-72.0
1331,-71.0
1332,-68.0
1333,-71.0
1334,-70.0
1335,-74.0
1336,-68.0
1337,-69.0
1338,-69.0
1339,-69.0
1340,-70.0
1341,-74.0
1342,-69.0
1343,-71.0
1344,-69.0
1345,-71.0
1346,-74.0
1347,-73.0
1348,-69.0
1349,-70.0
1350,-69.0
1351,-69.0
1352,-69.0
1353,-71.0
1354,-70.0
1355,-69.0
1356,-68.0
1357,-68.0
1358,-71.0
1359,-68.0
1360,-67.0
1361,-69.0
1362,-70.0
1363,-72.0
1364,-70.0
1365,-71.0
1366,-68.0
1367,-67.0
1368,-68.0
1369,-72.0
1370,-69.0
1371,-72.0
1372,-68.0
1373,-66.0
1374,-68.0
1375,-70.0
1376,-68.0
1377,-68.0
1378,-68.0
1379,-71.0
1380,-71.0
1381,-68.0
1382,-69.0
1383,-68.0
1384,-66.0
1385,-69.0
1386,-68.0
1387,-70.0
1388,-70.0
1389,-71.0
1390,-72.0
1391,-68.0
1392,-68.0
1393,-69.0
1394,-70.0
1395,-69.0
1396,-69.0
1397,-70.0
1398,-69.0
1399,-69.0
1400,-71.0
1401,-70.0
1402,-70.0
1403,-70.0
1404,-70.0
1405,-77.0
1406,-78.0
1407,-74.0
1408,-73.0
1409,-76.0
1410,-71.0
1411,-76.0
1412,-78.0
1413,-72.0
1414,-73.0
1415,-71.0
1416,-71.0
1417,-77.0
1418,-76.0
1419,-74.0
1420,-72.0
1421,-71.0
1422,-72.0
1423,-73.0
1424,-71.0
1425,-76.0
1426,-72.0
1427,-72.0
1428,-73.0
1429,-73.0
1430,-71.0
1431,-74.0
1432,-73.0
1433,-74.0
1434,-72.0
1435,-76.0
1436,-73.0
1437,-74.0
1438,-71.0
1439,-73.0
1440,-73.0
1441,-75.0
